news_headline,news_article,news_category,full_text,clean_text
Katy Perry performs at first-ever OnePlus Music Festival in India,"The OnePlus Music Festival, held at Mumbai's DY Patil stadium, was headlined by International pop-star Katy Perry who entertained the audience with various hits of her career. This was the singer's first concert in Mumbai and the second one in India. Artists like Dua Lipa, Amit Trivedi, Ritviz, The Local Train and Aswekeepsearching were also part of the event line-up.",technology,"Katy Perry performs at first-ever OnePlus Music Festival in India. The OnePlus Music Festival, held at Mumbai's DY Patil stadium, was headlined by International pop-star Katy Perry who entertained the audience with various hits of her career. This was the singer's first concert in Mumbai and the second one in India. Artists like Dua Lipa, Amit Trivedi, Ritviz, The Local Train and Aswekeepsearching were also part of the event line-up.",katy perry perform first ever oneplus music festival india oneplus music festival hold mumbais dy patil stadium headline international pop star katy perry entertain audience various hit career singer first concert mumbai second one india artist like dua lipa amit trivedi ritviz local train aswekeepsearching also part event line
Cops are not welcome: Social network suspends Assam Police's account,"Social network Mastodon on November 14 suspended the account of the Assam Police, saying that ""cops are not welcome"". ""One of the moderators of Mastodon informed that our account has been suspended following reports from users who didn't feel safe with our presence,"" a member of the social media team of the Assam Police said.",technology,"Cops are not welcome: Social network suspends Assam Police's account. Social network Mastodon on November 14 suspended the account of the Assam Police, saying that ""cops are not welcome"". ""One of the moderators of Mastodon informed that our account has been suspended following reports from users who didn't feel safe with our presence,"" a member of the social media team of the Assam Police said.",cop not welcome social network suspend assam police account social network mastodon november suspend account assam police say cop not welcome one moderator mastodon inform account suspend follow report user not feel safe presence member social medium team assam police say
"Microsoft to pull down its Cortana app for iOS, Android in Jan","Microsoft will pull down its digital assistant Cortana from Android and iOS for users in India, UK, China, Australia, among others from January 2020. However, the digital assistant will be integrated into Microsoft 365 productivity apps. Cortana was introduced as a standalone app on iOS and Android 2015 but Microsoft reportedly began scaling back its support for Cortana in 2018.",technology,"Microsoft to pull down its Cortana app for iOS, Android in Jan. Microsoft will pull down its digital assistant Cortana from Android and iOS for users in India, UK, China, Australia, among others from January 2020. However, the digital assistant will be integrated into Microsoft 365 productivity apps. Cortana was introduced as a standalone app on iOS and Android 2015 but Microsoft reportedly began scaling back its support for Cortana in 2018.",microsoft pull cortana app io android jan microsoft pull digital assistant cortana android io user india uk china australia among january however digital assistant integrate microsoft productivity app cortana introduce standalone app io android microsoft reportedly begin scale back support cortana
AI predicts epileptic seizures with 'near-perfect accuracy',"US researchers have created an artificial intelligence (AI) system that predicts epileptic seizures ""with near-perfect 99.6% accuracy"" up to an hour before onset. They said the AI gives patients enough time to prepare for a seizure by taking medication. The AI combines deep-learning algorithms to map a person's brain activity and predict the electrical channels lighting up during a seizure.",technology,"AI predicts epileptic seizures with 'near-perfect accuracy'. US researchers have created an artificial intelligence (AI) system that predicts epileptic seizures ""with near-perfect 99.6% accuracy"" up to an hour before onset. They said the AI gives patients enough time to prepare for a seizure by taking medication. The AI combines deep-learning algorithms to map a person's brain activity and predict the electrical channels lighting up during a seizure.",ai predict epileptic seizure near perfect accuracy us researcher create artificial intelligence ai system predict epileptic seizure near perfect accuracy hour onset say ai give patient enough time prepare seizure take medication ai combine deep learn algorithm map person brain activity predict electrical channel light seizure
"Google to drop weekly meetings amid frequent leaks, says CEO","Google is dropping its weekly town hall meetings, internally called ""TGIF"" meetings, where employees usually share concerns with management. CEO Sundar Pichai cited ""coordinated efforts"" to leak candid conversations outside the meetings as the reason, in an email leaked to media and confirmed by Google. He added TGIF meetings will be held monthly, focusing only on ""product and business strategy"".",technology,"Google to drop weekly meetings amid frequent leaks, says CEO. Google is dropping its weekly town hall meetings, internally called ""TGIF"" meetings, where employees usually share concerns with management. CEO Sundar Pichai cited ""coordinated efforts"" to leak candid conversations outside the meetings as the reason, in an email leaked to media and confirmed by Google. He added TGIF meetings will be held monthly, focusing only on ""product and business strategy"".",google drop weekly meeting amid frequent leak say ceo google drop weekly town hall meeting internally call tgif meeting employee usually share concern management ceo sundar pichai cite coordinate effort leak candid conversation outside meeting reason email leak medium confirm google add tgif meeting hold monthly focus product business strategy
"Nykaa, 3 other platforms fix bug risking data of 200 million users","After a Bengaluru-based security researcher found a security flaw in the app of fashion and beauty retailer Nykaa, the startup said it has fixed the bug. Ehraz Ahmed said Nykaa, bike rental platform Bounce, furniture e-tailer Pepperfry and Justdial exposed the personal data of around 200 million customers due to API vulnerabilities. The other three platforms also fixed the flaws.",technology,"Nykaa, 3 other platforms fix bug risking data of 200 million users. After a Bengaluru-based security researcher found a security flaw in the app of fashion and beauty retailer Nykaa, the startup said it has fixed the bug. Ehraz Ahmed said Nykaa, bike rental platform Bounce, furniture e-tailer Pepperfry and Justdial exposed the personal data of around 200 million customers due to API vulnerabilities. The other three platforms also fixed the flaws.",nykaa platform fix bug risk datum million user bengaluru base security researcher find security flaw app fashion beauty retailer nykaa startup say fix bug ehraz ahmed say nykaa bike rental platform bounce furniture e tailer pepperfry justdial expose personal datum around million customer due api vulnerability three platform also fix flaw
"SoftBank to create $30 bn firm with Yahoo Japan, LINE Corp merger","SoftBank has announced the merger of Yahoo Japan and messaging app LINE Corporation, owned by Naver Corporation, to create a $30 billion technology firm. The agreement is expected to be completed by 2020 in which SoftBank and Naver will form a 50:50 venture. The firm aims to expand services globally to become a ""leading AI technology-based IT company"".",technology,"SoftBank to create $30 bn firm with Yahoo Japan, LINE Corp merger. SoftBank has announced the merger of Yahoo Japan and messaging app LINE Corporation, owned by Naver Corporation, to create a $30 billion technology firm. The agreement is expected to be completed by 2020 in which SoftBank and Naver will form a 50:50 venture. The firm aims to expand services globally to become a ""leading AI technology-based IT company"".",softbank create bn firm yahoo japan line corp merger softbank announce merger yahoo japan messaging app line corporation naver corporation create billion technology firm agreement expect complete softbank naver form venture firm aim expand service globally become lead ai technology base company
No users were affected by latest Pegasus-like spyware: WhatsApp,WhatsApp has said that no users were affected by the recent Pegasus-like spyware and a patch had been issued for the vulnerability. The attacker had targetted phones by sending malicious MP4 files through the messaging app. The new threat was reported to inject malware into the victim's device to access sensitive files and use it for surveillance purposes.,technology,No users were affected by latest Pegasus-like spyware: WhatsApp. WhatsApp has said that no users were affected by the recent Pegasus-like spyware and a patch had been issued for the vulnerability. The attacker had targetted phones by sending malicious MP4 files through the messaging app. The new threat was reported to inject malware into the victim's device to access sensitive files and use it for surveillance purposes.,no user affect late pegasus like spyware whatsapp whatsapp say no user affect recent pegasus like spyware patch issue vulnerability attacker targett phone send malicious mp file messaging app new threat report inject malware victim device access sensitive file use surveillance purpose
Bill Gates says India has potential for very rapid economic growth ,"Microsoft Co-founder Bill Gates has said that India has the potential for ""very rapid"" economic growth over the next decade. He added this growth can help people overcome poverty and let the government invest in health and education priorities in an ""exciting way"". Gates further praised the Aadhaar identification system and India's performance in the financial services and pharmaceutical sectors.",technology,"Bill Gates says India has potential for very rapid economic growth . Microsoft Co-founder Bill Gates has said that India has the potential for ""very rapid"" economic growth over the next decade. He added this growth can help people overcome poverty and let the government invest in health and education priorities in an ""exciting way"". Gates further praised the Aadhaar identification system and India's performance in the financial services and pharmaceutical sectors.",bill gate say india potential rapid economic growth microsoft co founder bill gate say india potential rapid economic growth next decade add growth help people overcome poverty let government invest health education priority exciting way gate praise aadhaar identification system indias performance financial service pharmaceutical sector
India joins China to oppose use of 26 GHz band for 5G: Reports,"India has reportedly sided with China, Russia and Japan to oppose the use of 26 GHz spectrum band for commercial 5G operations. India has opposed the use as ISRO plans to use the particular band for satellite services. China and other nations had opposed it to defend their military operations. However, certain industry bodies have shown reservations against the decision.",technology,"India joins China to oppose use of 26 GHz band for 5G: Reports. India has reportedly sided with China, Russia and Japan to oppose the use of 26 GHz spectrum band for commercial 5G operations. India has opposed the use as ISRO plans to use the particular band for satellite services. China and other nations had opposed it to defend their military operations. However, certain industry bodies have shown reservations against the decision.",india join china oppose use ghz band g report india reportedly side china russia japan oppose use ghz spectrum band commercial g operation india oppose use isro plan use particular band satellite service china nation oppose defend military operation however certain industry body show reservation decision
